"id,""author_id_who_looks"",""publication_category"",""format"",""style"",""publication_id"",""chapter_number"",""createdAt"",""updatedAt"""
"1,2,""bd"",""serie"",""Manga"",2,1,""2020-04-17 02:07:00.667+02"",""2020-04-17 02:07:00.667+02"""
"2,2,""bd"",""serie"",""BD"",2,1,""2020-04-17 02:09:22.496+02"",""2020-04-17 02:09:22.496+02"""
"3,2,""bd"",""serie"",""Manga"",2,1,""2020-04-17 02:09:56.91+02"",""2020-04-17 02:09:56.91+02"""
"4,2,""bd"",""serie"",""Manga"",2,1,""2020-04-17 02:10:18.15+02"",""2020-04-17 02:10:18.15+02"""
"5,2,""bd"",""serie"",""Comics"",2,1,""2020-04-17 02:11:26.725+02"",""2020-04-17 02:11:26.725+02"""
"6,2,""bd"",""serie"",""Comics"",2,1,""2020-04-17 02:12:04.637+02"",""2020-04-17 02:12:04.637+02"""
"7,2,""bd"",""serie"",""Comics"",2,1,""2020-04-17 02:12:54.247+02"",""2020-04-17 02:12:54.247+02"""
"8,2,""bd"",""serie"",""Comics"",2,1,""2020-04-17 02:15:01.193+02"",""2020-04-17 02:15:01.193+02"""
